_id,School_Id,Org_Name,Telephone,Fax,Email,Contact1_Name,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Rural_Indicator,Org_Type,Definition,Authority,School_Donations,CoEd_Status,KMEPeakBody,Takiwā,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Statistical_Area_2_Code,Statistical_Area_2_Description,Ward,Col_Id,Col_Name,Latitude,Longitude,Enrolment_Scheme,EQi_Index,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International,Isolation_Index,Language_of_Instruction,BoardingFacilities,CohortEntry,Status,DateSchoolOpened
11,1731,Hamilton East School,07-8393377,07-8383997,"","",http://www.hameast.school.nz,Dawson Street ,Hamilton East,Hamilton,Dawson Street,"",Hamilton,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Hamilton City,Waikato Region,Hamilton Office,Waikato,Hamilton East,Hauraki-Waikato,"",Hamilton East Village,East General Ward,"","",-37.787420,175.290498,No,458,2025-04-01T00:00:00,523,230,164,43,124,63,8,0,0.05,All students taught in English,No,No,Open,1872-01-26T00:00:00
12,1746,Horotiu School,07-8299892,07-8299192,"","",http://www.horotiu.school.nz,Bridge Road ,Horotiu,Hamilton,Bridge Road,"",Hamilton,"",Rural settlement,Full Primary,"",State,Donations may be requested,"","","",Waikato District,Waikato Region,Hamilton Office,Waikato,Taranaki-King Country,Hauraki-Waikato,"",Horotiu,Newcastle-Ngāruawāhia General Ward,"","",-37.700810,175.204649,No,462,2025-04-01T00:00:00,200,131,91,22,13,3,1,0,0.35,All students taught in English,No,No,Open,1879-01-26T00:00:00
13,1750,St Patrick's Catholic School (Taupo),07-3780205,07-3780293,"","",http://www.stpatstaupo.school.nz,86 Acacia Bay Road ,"",Taupo,86 Acacia Bay Road,"",Taupo,"",Medium urban area,Full Primary,"",State : Integrated,Donations may be requested,"","","",Taupo District,Waikato Region,Rotorua Office,"Bay of Plenty, Waiariki",Taupō,Waiariki,"",Brentwood (Taupo District),Taupō General Ward,"","",-38.677660,176.061929,No,418,2025-04-01T00:00:00,246,165,35,13,67,6,3,0,0.60,All students taught in English,No,No,Open,1997-01-28T00:00:00
14,1752,Huntly West School,07-8288371,07-8288545,"","",http://www.huntlywest.school.nz,Paki Street ,"",Huntly,Paki Street,"",Huntly,"",Small urban area,Full Primary,"",State,Donations may be requested,"","","",Waikato District,Waikato Region,Hamilton Office,Waikato,Waikato,Hauraki-Waikato,"",Huntly West,Huntly General Ward,"","",-37.558865,175.150134,No,560,2025-04-01T00:00:00,118,11,103,12,2,2,0,0,0.51,All students taught in English,No,No,Open,1858-11-17T00:00:00
15,1753,Insoll Avenue School,07-8555067,07-8555054,"","",http://www.insollave.school.nz,95 Insoll Avenue ,Fairfield,Hamilton,95 Insoll Avenue,"",Hamilton,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Hamilton City,Waikato Region,Hamilton Office,Waikato,Hamilton East,Hauraki-Waikato,"",Enderley North,East General Ward,"","",-37.761853,175.296347,No,540,2025-04-01T00:00:00,307,62,199,77,46,12,2,0,0.13,All students taught in English,No,No,Open,1962-02-05T00:00:00
16,1756,Kaharoa School,07-3323444,07-3323401,"","",http://www.kaharoa.school.nz,296 Kaharoa Road ,"",Rotorua,296 Kaharoa Road,"",Rotorua,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Rotorua District,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",Rotorua,Waiariki,"",Tui Ridge,Rotorua Rural General Ward,"","",-37.995973,176.234324,No,440,2025-04-01T00:00:00,175,145,41,6,3,2,0,0,0.58,All students taught in English,No,No,Open,1907-01-26T00:00:00
17,1772,Rotorua Specialist School - Te Kura Pūkenga o Rotorua,07-3476717,07-3476714,"","",http://www.keastreet.ac.nz,36 Kea Street ,Selwyn Heights,Rotorua,36 Kea Street,"",Rotorua,"",Large urban area,Specialist School,Day Specialist,State,Donations may be requested,"","","",Rotorua District,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",Rotorua,Waiariki,"",Selwyn Heights,Te Ipu Wai Auraki General Ward,"","",-38.116624,176.223575,No,520,2025-04-01T00:00:00,94,41,55,12,12,1,0,0,0.33,All students taught in English,No,No,Open,1963-02-01T00:00:00
18,1782,Kopuarahi School,07-8675048,"","","",http://www.kopuarahi.school.nz,Bush Road ,"",Thames,Bush Road,"",Thames,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Hauraki District,Waikato Region,Hamilton Office,Waikato,Coromandel,Hauraki-Waikato,"",Hauraki Plains East,Plains Ward,"","",-37.220224,175.506480,No,534,2025-04-01T00:00:00,11,6,5,0,2,0,0,0,0.99,All students taught in English,No,No,Open,1917-01-26T00:00:00
19,1784,Koromatua School,07-8479828,07-8479803,"","",http://www.koromatua.school.nz,355 Koromatua Road ,"",Hamilton,355 Koromatua Road,"",Hamilton,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Waipa District,Waikato Region,Hamilton Office,Waikato,Taranaki-King Country,Hauraki-Waikato,"",Ngāhinapōuri,Pirongia-Kakepuku General Ward,"","",-37.831616,175.207492,No,468,2025-04-01T00:00:00,216,79,193,38,6,1,2,0,0.25,Some students taught in te reo Māori,No,No,Open,1905-02-06T00:00:00
20,60,Saint Kentigern Girls' School,09-5201400,09-5247657,"","",http://www.saintkentigern.com,82 Shore Road ,Remuera,Auckland,82 Shore Road,"",Auckland,"",Major urban area,Full Primary,"",Private : Fully Registered,Not applicable,"","","",Ōrākei Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Epsom,Tāmaki Makaurau,"",Remuera North,Ōrākei Ward,"","",-36.865324,174.803912,No,not applicable,2025-04-01T00:00:00,383,190,11,7,187,5,3,0,not applicable,All students taught in English,No,No,Open,1947-01-26T00:00:00
21,601,Kumeroa School,06-3764542,06-3764542,"","",http://www.kumeroa.school.nz ,58 Township Road ,"",Kumeroa,58 Township Road,"",Kumeroa,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Tararua District,Manawatū-Whanganui Region,Lower Hutt Office,Wellington,Wairarapa,Ikaroa-Rāwhiti,"",Kaitawa,South Tararua General Ward,"","",-40.337633,175.989711,No,460,2025-04-01T00:00:00,32,29,5,1,3,2,0,0,0.89,All students taught in English,No,No,Open,2008-01-26T00:00:00
22,1466,Riverina School,09-5277377,09-5271536,"","",http://www.riverina.school.nz,30 Millen Avenue ,Pakuranga,Auckland,30 Millen Avenue,"",Auckland,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Pakuranga,Tāmaki Makaurau,"",Pakuranga North,Howick Ward,"","",-36.913968,174.861813,No,467,2025-04-01T00:00:00,117,37,33,52,29,11,3,0,0.29,All students taught in English,No,No,Open,1961-02-01T00:00:00
23,1501,St Mark's School (Pakuranga),09-5765296,09-5762701,"","",http://www.stmarks.school.nz/,334 Pakuranga Road ,Pakuranga,Auckland,334 Pakuranga Road,"",Auckland,"",Major urban area,Contributing,"",State : Integrated,Donations may be requested,"","","",Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Pakuranga,Tāmaki Makaurau,"",Sunnyhills East,Howick Ward,"","",-36.901451,174.897150,No,378,2025-04-01T00:00:00,203,59,13,37,135,14,1,0,0.33,All students taught in English,No,No,Open,1979-02-15T00:00:00
24,1529,Taupaki School,09-8109855,09-8109851,"","",http://www.taupaki.school.nz,Cottle Road ,Henderson,Auckland,Cottle Road,"",Auckland,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,"",Taupaki,Rodney Ward,"","",-36.820261,174.544543,No,427,2025-04-01T00:00:00,226,202,35,7,22,3,2,0,0.50,All students taught in English,No,No,Open,1899-01-26T00:00:00
25,1540,Valley School,09-2388774,09-2385490,"","",http://www.valley.school.nz,East Street ,"",Pukekohe,East Street,"",Pukekohe,"",Medium urban area,Contributing,"",State,Donations may be requested,"","","",Franklin Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Port Waikato,Hauraki-Waikato,"",Rooseville Park,Franklin Ward,"","",-37.196975,174.913290,No,425,2025-04-01T00:00:00,443,274,74,52,110,26,1,0,0.16,All students taught in English,No,No,Open,1966-01-26T00:00:00
26,1544,Victoria Avenue School,09-5200602,09-5201943,"","",http://www.victoria-avenue.school.nz,282 Victoria Avenue ,Remuera,Auckland,282 Victoria Avenue,"",Auckland,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Ōrākei Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Epsom,Tāmaki Makaurau,"",Remuera Waitaramoa,Ōrākei Ward,"","",-36.865500,174.799034,No,344,2025-04-01T00:00:00,395,125,8,7,269,11,1,5,0.16,All students taught in English,No,No,Open,1952-02-01T00:00:00
27,1559,Waiuku Primary School,09-2358453,09-2358463,"","",http://web.waiuku.school.nz/,George Street ,"",Waiuku,George Street,"",Waiuku,"",Small urban area,Full Primary,"",State,Donations may be requested,"","","",Franklin Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Port Waikato,Hauraki-Waikato,"",Waiuku East,Franklin Ward,"","",-37.257574,174.732890,No,455,2025-04-01T00:00:00,356,274,85,40,33,13,7,0,0.42,All students taught in English,No,No,Open,1873-01-26T00:00:00
28,1570,Weymouth School,09-2690588,09-2690599,"","",http://www.weymouthprimary.school.nz,23 Evans Road ,Weymouth,Auckland,23 Evans Road,"",Auckland,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Manurewa Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Manurewa,Tāmaki Makaurau,"",Weymouth South,Manurewa-Papakura Ward,"","",-37.046592,174.865615,No,501,2025-04-01T00:00:00,508,101,193,333,83,24,7,0,0.27,All students taught in English,No,No,Open,1961-02-01T00:00:00
29,1580,Yendarra School,09-2747431,09-2746588,"","",http://www.yendarra.school.nz/,226 Bairds Road ,Otara,Auckland,226 Bairds Road,"",Auckland,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Ōtara-Papatoetoe Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Panmure-Ōtāhuhu,Tāmaki Makaurau,"",Ferguson,Manukau Ward,"","",-36.966108,174.877703,No,512,2025-04-01T00:00:00,223,5,59,177,10,0,0,0,0.10,All students taught in English,No,No,Open,1968-01-26T00:00:00
30,1581,Chapel Downs School,09-2748002,09-2740245,"","",http://www.chapeldowns.school.nz,170 Dawson Road ,Flat Bush,Auckland,170 Dawson Road,"",Auckland,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Botany,Tāmaki Makaurau,"",Chapel Downs,Howick Ward,"","",-36.979496,174.900669,No,484,2025-04-01T00:00:00,728,54,124,395,269,37,3,0,0.13,All students taught in English,No,No,Open,1985-01-30T00:00:00
31,1589,TKKM o Toku Mapihi Maurea,07-8568266,07-8583426,"","","",137 Silverdale Road ,Hillcrest,Hamilton,137 Silverdale Road,"",Hamilton,"",Major urban area,Full Primary,"",State,Donations may be requested,"","","",Hamilton City,Waikato Region,Hamilton Office,Waikato,Hamilton East,Hauraki-Waikato,"",Ruakura,East General Ward,"","",-37.788589,175.324236,No,459,2025-04-01T00:00:00,83,5,81,8,0,0,0,0,0.14,All students taught in te reo Māori,No,No,Open,1993-01-26T00:00:00
32,1625,Ascot Community School,03-2175196,03-2175850,"","",http://www.ascot.school.nz,580 Tay Street ,Hawthorndale,Invercargill,580 Tay Street,"",Invercargill,"",Large urban area,Full Primary,"",State,Donations may be requested,"","","",Invercargill City,Southland Region,Invercargill Office,"Otago, Southland",Invercargill,Te Tai Tonga,"",Glengarry,Area Outside Ward,"","",-46.407172,168.384837,No,516,2025-04-01T00:00:00,246,136,66,35,24,25,1,0,0.81,All students taught in English,No,No,Open,1999-01-27T00:00:00
33,1647,Konini Primary School (Wainuiomata),04-9397725,04-9397742,"","",http://www.konini-primary.school.nz,28 Konini Street ,Wainuiomata,Lower Hutt,28 Konini Street,"",Lower Hutt,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Lower Hutt City,Wellington Region,Lower Hutt Office,Wellington,Hutt South,Ikaroa-Rāwhiti,"",Wainuiomata West,Wainuiomata Ward,"","",-41.254826,174.936129,No,486,2025-04-01T00:00:00,271,124,93,56,63,3,4,0,0.20,All students taught in English,No,No,Open,2002-01-01T00:00:00
34,1672,TKKM o Nga Uri A Maui,06-8685629,06-8670960,"","","",349 Nelson Road ,"",Gisborne,349 Nelson Road,"",Gisborne,"",Large urban area,Composite,"",State,Donations may be requested,"",Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,"",Gisborne District,Gisborne Region,Napier Office,"Hawke's Bay, Tairāwhiti",East Coast,Ikaroa-Rāwhiti,"",Riverdale,Tairāwhiti General Ward,"","",-38.643503,177.997977,No,515,2025-04-01T00:00:00,208,2,207,1,2,0,0,0,0.88,All students taught in te reo Māori,No,No,Open,1993-09-13T00:00:00
35,1679,Rahotu School,06-7638658,06-7638472,"","",http://www.rahotu.school.nz,5825 South Road ,"",Rahotu,5825 South Road,"",Rahotu,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",South Taranaki District,Taranaki Region,Whanganui Office,"Taranaki, Whanganui, Manawatū",New Plymouth,Te Tai Hauāuru,"",Parihaka,Taranaki Coastal General Ward,"","",-39.325024,173.802899,No,498,2025-04-01T00:00:00,136,113,62,4,4,0,0,0,1.60,All students taught in English,No,No,Open,2005-01-28T00:00:00
36,1702,Cambridge School,07-8275316,07-8230471,"","",http://www.cambridgeprimary.co.nz,Wilson Street ,"",Cambridge,Wilson Street,"",Cambridge,"",Medium urban area,Contributing,"",State,Donations may be requested,"","","",Waipa District,Waikato Region,Hamilton Office,Waikato,Taupō,Hauraki-Waikato,"",Cambridge Central,Cambridge General Ward,"","",-37.895329,175.467817,No,402,2025-04-01T00:00:00,371,309,23,6,55,11,0,0,0.33,Some students taught in te reo Māori,No,No,Open,1866-07-01T00:00:00
37,1706,Colville School,07-8666815,07-8666818,"","",http://www.colville.school.nz/,2391 Colville Road ,"",Colville,2391 Colville Road,"",Colville,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Thames-Coromandel District,Waikato Region,Hamilton Office,Waikato,Coromandel,Hauraki-Waikato,"",Colville,Coromandel-Colville Ward,"","",-36.628202,175.472294,No,478,2025-04-01T00:00:00,35,31,7,3,1,0,1,0,2.69,All students taught in English,No,No,Open,1891-01-26T00:00:00
38,1044,Matauri Bay School,09-4050507,09-4051665,"","",http://www.matauribay.school.nz,Whakarara Road ,"",Matauri Bay,Whakarara Road,"",Matauri Bay,"",Rural settlement,Contributing,"",State,Donations may be requested,"","","",Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,"",Whakarara,Bay of Islands-Whangaroa General Ward,"","",-35.043138,173.896267,No,551,2025-04-01T00:00:00,52,7,48,5,0,0,0,0,2.25,All students taught in te reo Māori,No,No,Open,1898-02-01T00:00:00
39,1056,Ngunguru School,09-4343805,09-4343805,"","",http://www.ngunguru.school.nz,Te Maika Road ,"",Ngunguru,Te Maika Road,"",Ngunguru,"",Small urban area,Full Primary,"",State,Donations may be requested,"","","",Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,"",Ngunguru,Hikurangi-Coastal General Ward,"","",-35.626590,174.512273,No,428,2025-04-01T00:00:00,213,176,50,9,14,2,4,0,1.15,All students taught in English,No,No,Open,1870-01-26T00:00:00
40,1059,Okaihau Primary School,09-4019151,09-4019154,"","",http://www.okaihau-primary.school.nz/,77 Settlers Way ,"",Okaihau,77 Settlers Way,"",Okaihau,"",Rural settlement,Contributing,"",State,Donations may be requested,"","","",Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,"",Ōkaihau,Kaikohe-Hokianga General Ward,"","",-35.323742,173.764381,No,507,2025-04-01T00:00:00,138,53,98,14,0,0,0,0,1.83,All students taught in English,No,No,Open,1858-11-17T00:00:00
41,1076,Pamapuria School,09-4084294,09-4084294,"","",http://pamapuriaschoolnz.mystrikingly.com/,State Highway 1 ,Pamapuria,Kaitaia,State Highway 1,"",Kaitaia,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,"",Rangitihi,Te Hiku General Ward,"","",-35.132798,173.351826,No,547,2025-04-01T00:00:00,90,35,67,17,1,1,2,0,2.48,All students taught in English,No,No,Open,1884-07-14T00:00:00
42,1077,Paparoa School,09-4317379,"","","",http://www.paparoa.school.nz,14 Franklin Road ,"",Paparoa,14 Franklin Road,"",Paparoa,"",Rural settlement,Contributing,"",State,Donations may be requested,"","","",Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,"",Otamatea (Kaipara District),Otamatea General Ward,"","",-36.099534,174.233448,No,471,2025-04-01T00:00:00,39,24,18,3,3,0,0,0,1.38,All students taught in English,No,No,Open,1870-01-26T00:00:00
43,108,Onewhero Area School,09-2328866,09-2328862,"","",http://www.onewhero.school.nz/,29 Hall Road ,Onewhero,Tuakau,29 Hall Road,"",Tuakau,"",Rural other,Composite,"",State,Donations may be requested,"","","",Waikato District,Waikato Region,Auckland Office,Tāmaki Herenga Waka,Port Waikato,Hauraki-Waikato,"",Onewhero,Awaroa-Maramarua General Ward,"","",-37.332158,174.916276,No,465,2025-04-01T00:00:00,401,332,95,35,18,5,7,0,0.60,All students taught in English,No,No,Open,1891-01-26T00:00:00
44,1085,Pouto School,09-4395251,09-4395251,"","",https://sites.google.com/pouto.school.nz/pouto-school-nz,11 Opuna Road ,"",Te Kopuru,11 Opuna Road,"",Te Kopuru,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,"",Kaipara Coastal,Wairoa General Ward,"","",-36.285650,174.101868,No,519,2025-04-01T00:00:00,8,4,6,0,0,0,0,0,2.74,All students taught in English,No,No,Open,1960-04-11T00:00:00
45,1100,Te Kura o Hato Hohepa Te Kamura,09-4051773,09-4051773,"","",https://www.tekamura.school.nz,State Highway 10 ,"",Kaeo,State Highway 10,"",Kaeo,"",Rural other,Full Primary,"",State : Integrated,Donations may be requested,"","","",Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,"",Whakapaku,Bay of Islands-Whangaroa General Ward,"","",-35.070013,173.712928,No,537,2025-04-01T00:00:00,10,0,10,0,0,0,0,0,2.31,All students taught in te reo Māori,No,No,Open,1928-03-17T00:00:00
46,1111,Te Kopuru School,09-4391802,09-4391802,"","",http://www.tekopuru.school.nz ,Norton Street ,"",Te Kopuru,Norton Street,"",Te Kopuru,"",Rural settlement,Full Primary,"",State,Donations may be requested,"","","",Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,"",Kaipara Coastal,Wairoa General Ward,"","",-36.029759,173.922792,No,514,2025-04-01T00:00:00,82,25,62,7,1,0,1,0,1.84,Some students taught in te reo Māori,No,No,Open,1872-01-26T00:00:00
47,2065,Waipahihi School,07-3786455,07-3783764,"","",http://www.waipahihi.school.nz,20 Parata Street ,Waipahihi,Taupo,20 Parata Street,"",Taupo,"",Medium urban area,Contributing,"",State,Donations may be requested,"","","",Taupo District,Waikato Region,Rotorua Office,"Bay of Plenty, Waiariki",Taupō,Waiariki,"",Richmond Heights,Taupō General Ward,"","",-38.717522,176.087110,No,450,2025-04-01T00:00:00,380,278,125,11,34,9,3,0,0.60,All students taught in English,No,No,Open,1961-06-08T00:00:00
48,2082,Whakatane Intermediate,07-3086480,07-3085760,"","",http://www.whakataneintermediateschool.com,101 James Street ,"",Whakatane,101 James Street,"",Whakatane,"",Medium urban area,Intermediate,"",State,Donations may be requested,"","","",Whakatane District,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",East Coast,Waiariki,"",Whakatāne West,Whakatāne-Ōhope General Ward,"","",-37.961255,176.970443,No,487,2025-04-01T00:00:00,603,333,321,23,38,22,2,0,1.13,All students taught in English,No,No,Open,1968-02-05T00:00:00
49,2086,Wharepapa South School,07-8722826,07-8722826,"","",http://www.wharepapa.school.nz,14 Wharepapa Road ,"",Te Awamutu,14 Wharepapa Road,"",Te Awamutu,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Waipa District,Waikato Region,Hamilton Office,Waikato,Taranaki-King Country,Te Tai Hauāuru,"",Rotongata,Pirongia-Kakepuku General Ward,"","",-38.142835,175.534875,No,492,2025-04-01T00:00:00,36,31,3,2,5,0,0,0,1.03,All students taught in English,No,No,Open,1858-11-17T00:00:00
50,2088,Whenuakite School,07-8663860,07-8663823,"","",http://www.whenuakite.school.nz,1055 State Highway 25 ,"",Whitianga,1055 State Highway 25,"",Whitianga,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Thames-Coromandel District,Waikato Region,Hamilton Office,Waikato,Coromandel,Hauraki-Waikato,"",Mercury Bay South,Mercury Bay Ward,"","",-36.914996,175.777175,No,428,2025-04-01T00:00:00,162,147,10,1,8,0,1,0,1.90,All students taught in English,No,No,Open,1908-03-16T00:00:00
